text,category
"Blue Dart courier charges for warehouse delivery",Logistics
"FedEx overnight shipping",Logistics
"Pens sticky notes and printer paper",Office Supplies
"Staples office chair and desk accessories",Office Supplies
"AWS monthly cloud hosting bill",Cloud/Software
"GitHub Copilot annual subscription",Cloud/Software
"Electricity bill for main office",Utilities
"Water and sewage monthly charge",Utilities
"Flight tickets to Mumbai for conference",Travel
"Hotel booking for 3 nights",Travel
"Pallet of raw steel materials",Inventory
"Restock of microchips batch 4A",Inventory
